Fold,Accuracy
1,100.0000%
2,100.0000%
3,100.0000%
4,100.0000%
5,100.0000%
6,100.0000%
7,100.0000%
8,100.0000%
9,100.0000%
10,100.0000%
Mean ± Std,100.0000% ± 0.0000%
